"district","median_age","total_va","male_va","female_va","pvi_margin","status","margin_percent"
"Maryland 06","39.2","551,106","273,625","277,481",2,"Incumbent D",1.13
"Maryland 07","36.4","571,305","261,422","309,883",30,"Incumbent D",61.76
"Maryland 08","40.8","504,767","240,611","264,156",29,"Incumbent D",54.7
"Massachusetts 01","41.7","602,686","288,879","313,807",9,"Incumbent D",23.55
"Massachusetts 02","39.7","571,917","277,778","294,139",13,"Incumbent D",34.41
"Massachusetts 03","39.0","545,676","268,793","276,883",11,"Incumbent D",24.62
"Massachusetts 04","40.9","572,704","275,022","297,682",12,"Incumbent D",NA
"Massachusetts 05","39.0","535,462","256,729","278,733",23,"Incumbent D",50.77
"Massachusetts 06","43.1","579,306","276,539","302,767",11,"Incumbent D",27.13
"Massachusetts 07","32.5","527,164","250,110","277,054",35,"Incumbent D",69.83
"Massachusetts 08","39.3","571,793","274,578","297,215",15,"Incumbent D",39.18
"Massachusetts 09","46.6","610,454","294,189","316,265",6,"Incumbent D",19.23
"Michigan 01","47.3","630,608","320,241","310,367",-13,"Incumbent R",-23.92
"Michigan 02","41.1","607,425","311,536","295,889",-16,"Incumbent R",-30.17
"Michigan 03","35.4","567,098","275,911","291,187",1,"Incumbent R",12.9
"Michigan 04","37.3","575,650","282,940","292,710",-5,"Incumbent R",-17.99
"Michigan 05","42.1","598,863","300,359","298,504",-15,"Incumbent R",-28.36
"Michigan 06","38.5","574,946","280,899","294,047",11,"Incumbent D",26.78
"Michigan 07","38.8","593,880","291,506","302,374",-2,"Incumbent D",5.03
"Michigan 08","41.2","599,801","289,226","310,575",-1,"Incumbent D",10.26
"Michigan 09","43.2","594,275","297,240","297,035",-18,"Incumbent R",-32.69
"Michigan 10","40.9","586,400","282,224","304,176",-3,"New seat",-0.49
"Michigan 11","40.5","581,767","283,886","297,881",7,"Incumbent D",22.21
"Michigan 12","37.5","564,817","263,763","301,054",23,"Incumbent D",43.2
"Michigan 13","36.5","557,757","266,778","290,979",23,"New seat",47.07
"Minnesota 01","38.9","529,082","262,547","266,535",-7,"Incumbent R",-11.49
"Minnesota 02","37.9","514,720","255,386","259,334",1,"Incumbent D",5.1
"Minnesota 03","40.5","511,181","249,183","261,998",8,"Incumbent D",19.2
"Minnesota 04","36.7","511,251","248,051","263,200",17,"Incumbent D",35.38
"Minnesota 05","34.4","523,373","262,837","260,536",30,"Incumbent D",50.37
"Minnesota 06","37.3","521,139","263,607","257,532",-12,"Incumbent R",-24.23
"Minnesota 07","41.1","535,583","269,349","266,234",-19,"Incumbent R",-39.43
"Minnesota 08","42.6","560,561","284,152","276,409",-8,"Incumbent R",-12.7
"Mississippi 01","38.0","556,809","265,875","290,934",-18,"Incumbent R",-42.7
"Mississippi 02","38.1","557,772","264,717","293,055",11,"Incumbent D",18.53
"Mississippi 03","38.0","558,057","264,990","293,067",-15,"Incumbent R",-42.12
"Mississippi 04","38.4","560,257","270,667","289,590",-22,"Incumbent R",-50.25
"Missouri 01","36.9","580,233","269,441","310,792",27,"Incumbent D",48.44
"Missouri 02","42.0","578,593","280,664","297,929",-7,"Incumbent R",-11.87
"Missouri 03","39.0","593,130","292,464","300,666",-16,"Incumbent R",-30.19
"Missouri 04","38.4","585,606","291,681","293,925",-23,"Open",-46.81
"Missouri 05","36.8","570,354","274,292","296,062",11,"Incumbent D",19.25
"Missouri 06","39.2","583,109","289,924","293,185",-21,"Incumbent R",-42.22
"Missouri 07","38.4","583,461","283,951","299,510",-24,"Open",-46.46
"Missouri 08","40.2","592,199","294,640","297,559",-28,"Incumbent R",-55.17
"Montana 01","40.0","432,937","221,023","211,914",-6,"New seat",-3.31
"Montana 02","40.3","416,963","209,016","207,947",-16,"Incumbent R",-35.2
"Nebraska 01","35.8","475,335","239,011","236,324",-9,"Incumbent R",-16.61
"Nebraska 02","35.5","452,382","222,097","230,285",0,"Incumbent R",-4.4
"Nebraska 03","39.9","477,679","237,887","239,792",-29,"Incumbent R",-61.59
"Nevada 01","38.5","503,351","250,249","253,102",3,"Incumbent D",3.83
"Nevada 02","39.9","567,318","290,653","276,665",-8,"Incumbent R",-29.46
"Nevada 03","39.2","556,570","279,009","277,561",1,"Incumbent D",2.03
"Nevada 04","36.5","523,036","262,465","260,571",3,"Incumbent D",2.91
"New Hampshire 01","42.3","547,153","269,624","277,529",0,"Incumbent D",NA
"New Hampshire 02","43.9","546,303","273,440","272,863",2,"Incumbent D",NA
"New Jersey 01","39.0","572,754","273,583","299,171",10,"Incumbent D",NA
"New Jersey 02","43.0","582,389","284,596","297,793",-5,"Incumbent R",NA
"New Jersey 03","42.2","577,077","281,947","295,130",5,"Incumbent D",NA
"New Jersey 04","41.4","563,900","269,602","294,298",-14,"Incumbent R",NA
"New Jersey 05","43.3","550,721","267,117","283,604",4,"Incumbent D",NA
"New Jersey 06","38.2","525,832","258,497","267,335",8,"Incumbent D",NA
"New Jersey 07","43.6","572,285","279,993","292,292",-1,"Incumbent D",NA
"New Jersey 08","35.5","431,342","211,593","219,749",22,"Open",NA
